False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0014699173805058543,0.5036166365280289,1.0
0.0014699173805058543,0.5042194092827004,0.9995
0.0014699173805058543,0.504822182037372,0.9994444444444445
0.001520604186730194,0.5051235684147076,0.999375
0.0016219777991788738,0.5051235684147076,0.9991666666666668
0.0016219777991788738,0.5060277275467149,0.9990000000000001
0.0016726646054032136,0.5060277275467149,0.9989285714285714
0.0016726646054032136,0.5063291139240507,0.9983333333333334
0.0016726646054032136,0.5069318866787221,0.9983333333333333
0.0016726646054032136,0.5081374321880651,0.9975714285714286
0.0016726646054032136,0.5093429776974081,0.9975
0.0016726646054032136,0.5099457504520796,0.997390873015873
0.0016726646054032136,0.5102471368294154,0.9973333333333333
0.0016726646054032136,0.5108499095840868,0.9970833333333334
0.0017740382178518931,0.5108499095840868,0.997
0.0017740382178518931,0.5114526823387583,0.9965530303030302
0.001976785442749252,0.5114526823387583,0.9952500000000001
0.002331593086319631,0.5678119349005425,0.995
0.002331593086319631,0.568414707655214,0.99375
0.0023822798925439708,0.568414707655214,0.9933333333333333
0.0023822798925439708,0.5690174804098854,0.993
0.0023822798925439708,0.569620253164557,0.9925
0.0023822798925439708,0.5702230259192285,0.992
0.0023822798925439708,0.5708257986738999,0.991765873015873
0.0024329666987683105,0.5708257986738999,0.9913064713064712
0.0024329666987683105,0.5711271850512357,0.9912539682539684
0.0027370875361143496,0.5949367088607594,0.99
0.0027877743423386893,0.5949367088607594,0.9893764278574999
0.002838461148563029,0.5952380952380952,0.989090909090909
0.002838461148563029,0.5958408679927667,0.9890000000000001
0.002838461148563029,0.5961422543701025,0.98875
0.0029398347610117086,0.5964436407474382,0.9885555555555555
0.0029398347610117086,0.5970464135021097,0.988438141923436
0.0029905215672360484,0.5970464135021097,0.9883988095238095
0.0029905215672360484,0.5973477998794454,0.988125
0.003041208373460388,0.5973477998794454,0.9880000000000001
0.003041208373460388,0.5976491862567812,0.988
0.003041208373460388,0.5988547317661241,0.9878655397091183
0.003041208373460388,0.6000602772754672,0.9854209666322669
0.003041208373460388,0.6006630500301386,0.9853585858585859
0.003649450048152466,0.621458710066305,0.985
0.0037001368543768056,0.621458710066305,0.9846629901960785
0.0037508236606011453,0.6217600964436407,0.984375
0.0038015104668254855,0.6217600964436407,0.9842857142857143
0.0038015104668254855,0.6220614828209765,0.9837126068376069
0.0038521972730498253,0.6220614828209765,0.9836527777777778
0.0038521972730498253,0.622664255575648,0.9832768759018758
0.003902884079274165,0.622664255575648,0.9826666666666667
0.003902884079274165,0.6229656419529838,0.9826388888888888
0.003902884079274165,0.6235684147076552,0.9825
0.003953570885498504,0.6235684147076552,0.9810357142857141
0.003953570885498504,0.6238698010849909,0.9805158730158731
0.004257691722844544,0.6374321880650995,0.98
0.004257691722844544,0.6377335744424352,0.9797916666666666
0.004359065335293223,0.6377335744424352,0.9789772727272726
0.004359065335293223,0.638034960819771,0.9788888888888888
0.004409752141517563,0.6383363471971067,0.97875
0.004409752141517563,0.6386377335744424,0.9785833333333335
0.004460438947741903,0.6386377335744424,0.9780974907445495
0.004511125753966242,0.6389391199517782,0.9780682773109243
0.004511125753966242,0.6401446654611211,0.9766666666666666
0.00506868062243398,0.6546112115732369,0.975
0.00506868062243398,0.6549125979505727,0.9747777777777777
0.00517005423488266,0.6549125979505727,0.9735714285714286
0.00517005423488266,0.6552139843279083,0.9735408166813241
0.005474175072228699,0.6648583484026522,0.97
0.0057276091033503975,0.6648583484026522,0.9684558823529411
0.005879669522023417,0.6648583484026522,0.9671833298316771
0.005879669522023417,0.6651597347799879,0.9656666666666667
0.006183790359369456,0.6726943942133815,0.965
0.006183790359369456,0.6729957805907173,0.9648055905867436
0.006234477165593796,0.6729957805907173,0.9642857142857143
0.006234477165593796,0.6742013261000602,0.96375
0.006335850778042476,0.6742013261000602,0.9634999999999999
0.006335850778042476,0.674502712477396,0.9624550511837664
0.006386537584266816,0.674502712477396,0.9620833333333333
0.006437224390491155,0.6751054852320675,0.961783460459885
0.006487911196715495,0.6751054852320675,0.9614356060606061
0.006487911196715495,0.6754068716094033,0.9610056658597679
0.006487911196715495,0.6778179626280892,0.9601397569363899
0.006690658421612854,0.6832429174201327,0.96
0.006741345227837194,0.6832429174201327,0.9584999999999999
0.006741345227837194,0.6838456901748041,0.9574286236853959
0.006792032034061534,0.6838456901748041,0.9572123015873016
0.006792032034061534,0.6847498493068114,0.9551841936658111
0.006792032034061534,0.692284508740205,0.955
0.006842718840285873,0.6928872814948764,0.9538905175719101
0.006842718840285873,0.6931886678722122,0.9525
0.0068934056465102134,0.6934900542495479,0.9519066156581637
0.0068934056465102134,0.6940928270042194,0.9504166666666667
0.006944092452734553,0.6940928270042194,0.9503690476190476
0.007045466065183233,0.6992163954189271,0.95
0.0070961528714075725,0.6992163954189271,0.9492857142857143
0.007248213290080592,0.6995177817962628,0.948716939729517
0.007298900096304932,0.6995177817962628,0.948606049222535
0.007298900096304932,0.6998191681735986,0.94625
0.007450960514977951,0.7046413502109705,0.945
0.007450960514977951,0.7058468957203134,0.9420833333333334
0.00765370773987531,0.7100663050030138,0.94
0.007704394546099651,0.7103676913803496,0.9357230130980129
0.00780576815854833,0.7136829415310428,0.935
0.007907141770997009,0.7136829415310428,0.9302380952380951
0.007907141770997009,0.7179023508137432,0.93
0.007957828577221349,0.7179023508137432,0.92925
0.007957828577221349,0.7188065099457505,0.9266861957486958
0.00805920218967003,0.7191078963230862,0.925224830724831
0.008211262608343048,0.7239300783604581,0.925
0.008312636220791729,0.7239300783604581,0.9238841167002932
0.008414009833240407,0.7239300783604581,0.9238442585278492
0.008616757058137766,0.7239300783604581,0.9238020729270728
0.008667443864362107,0.7239300783604581,0.92375
0.008667443864362107,0.7242314647377939,0.923546182983683
0.008667443864362107,0.7248342374924653,0.9218631116690326
0.008667443864362107,0.7251356238698011,0.92125
0.008718130670586447,0.7251356238698011,0.9210244338994338
0.008819504283035125,0.7272453285111513,0.92
0.008870191089259466,0.7272453285111513,0.919290293040293
0.008870191089259466,0.7278481012658228,0.919
0.008920877895483806,0.7278481012658228,0.9184579656454654
0.008920877895483806,0.7281494876431586,0.9183333333333334
0.008971564701708146,0.7281494876431586,0.9164649544214787
0.009022251507932484,0.7326702833031947,0.915
0.009072938314156825,0.7326702833031947,0.9148890623265622
0.009072938314156825,0.7329716696805304,0.9146153846153847
0.009174311926605505,0.7329716696805304,0.9125813501134183
0.009224998732829844,0.7329716696805304,0.9122857142857143
0.009224998732829844,0.733574442435202,0.9122565816536405
0.009224998732829844,0.7341772151898734,0.9115714285714286
0.009224998732829844,0.7347799879445449,0.9112099189871286
0.009275685539054184,0.7377938517179023,0.91
0.009275685539054184,0.7380952380952381,0.90975
0.009326372345278524,0.7380952380952381,0.9094190196899875
0.009326372345278524,0.7383966244725738,0.909
0.009377059151502864,0.7389993972272453,0.9083512617840402
0.009377059151502864,0.7399035563592525,0.9056856281302396
0.009427745957727204,0.7426160337552743,0.905
0.009529119570175883,0.7426160337552743,0.9046069496808662
0.009731866795073242,0.7432188065099458,0.9023776614683104
0.009934614019970601,0.7438215792646172,0.9023731320681919
0.010035987632419282,0.7438215792646172,0.9004819367723778
0.010035987632419282,0.744122965641953,0.9004265224154931
0.010035987632419282,0.7492465340566606,0.9
0.010035987632419282,0.7498493068113321,0.89953373015873
0.010035987632419282,0.7504520795660036,0.8975
0.01013736124486796,0.7507534659433394,0.8970355104776544
0.01023873485731664,0.7525617842073539,0.895
0.01034010846976532,0.753465943339361,0.8944838309824535
0.01034010846976532,0.7540687160940326,0.8941527777777776
0.01039079527598966,0.7543701024713683,0.8939026327245833
0.010441482082214,0.7543701024713683,0.8933333333333334
0.010441482082214,0.7549728752260397,0.8908333333333333
0.010441482082214,0.758288125376733,0.89
0.010441482082214,0.7585895117540687,0.8883333333333333
0.01049216888843834,0.7585895117540687,0.8881075284514165
0.01049216888843834,0.7591922845087402,0.8871602564102564
0.01049216888843834,0.7597950572634117,0.8868737358183878
0.01049216888843834,0.7600964436407475,0.8861467248660091
0.01054285569466268,0.7631103074141049,0.885
0.010593542500887019,0.7631103074141049,0.8844444444444445
0.010593542500887019,0.7634116937914406,0.8826133108460893
0.010644229307111359,0.7634116937914406,0.8822322171292761
0.010644229307111359,0.7640144665461122,0.88147542881731
0.010694916113335699,0.766425557564798,0.88
0.01074560291956004,0.7667269439421338,0.8797023809523807
0.01074560291956004,0.7673297166968053,0.879090909090909
0.010897663338233058,0.7682338758288125,0.8790218642605033
0.010999036950681737,0.7682338758288125,0.8785809884559886
0.011049723756906077,0.7685352622061483,0.8776503357753359
0.011100410563130417,0.7685352622061483,0.8775
0.011303157788027776,0.768836648583484,0.8768227220877851
0.011353844594252116,0.768836648583484,0.8762425976800975
0.011455218206700795,0.7709463532248343,0.875
0.011505905012925135,0.7709463532248343,0.8739742063492065
0.011505905012925135,0.77124773960217,0.8733333333333334
0.011556591819149475,0.77124773960217,0.872044899544899
0.011556591819149475,0.7718505123568414,0.870347222222222
0.011657965431598156,0.7736588306208559,0.87
0.011860712656495515,0.7736588306208559,0.8697608291645444
0.011911399462719853,0.7736588306208559,0.8684782994782995
0.011911399462719853,0.7739602169981917,0.8669404761904761
0.012012773075168534,0.7739602169981917,0.866303391053391
0.012114146687617212,0.7748643761301989,0.865
0.012164833493841553,0.7754671488848704,0.864394212143766
0.012215520300065893,0.7757685352622061,0.8637726995226995
0.012215520300065893,0.7760699216395419,0.8635522998243588
0.012316893912514573,0.7760699216395419,0.862787770932011
0.012367580718738912,0.7760699216395419,0.8626895604395602
0.012367580718738912,0.7763713080168776,0.8621687389407979
0.012418267524963252,0.7763713080168776,0.8614796176046176
0.012418267524963252,0.7766726943942134,0.8613594322344325
0.012468954331187592,0.7769740807715492,0.8605252782762993
0.01257032794363627,0.7769740807715492,0.8601576296510506
0.012671701556084951,0.779385171790235,0.86
0.012722388362309291,0.779385171790235,0.8593333333333334
0.012722388362309291,0.7799879445449066,0.8592837765185337
0.012773075168533632,0.7799879445449066,0.8588751526251525
0.01287444878098231,0.7799879445449066,0.8586022172272172
0.01297582239343099,0.7802893309222423,0.8585427804264879
0.013026509199655329,0.7802893309222423,0.8584420652876535
0.01317856961832835,0.7802893309222423,0.8583492063492062
0.01317856961832835,0.781796262808921,0.8565174763961525
0.013279943230777028,0.781796262808921,0.8563690476190476
0.013330630037001369,0.7820976491862568,0.8555650697341874
0.013330630037001369,0.7823990355635925,0.8552369713619715
0.013533377261898728,0.7836045810729355,0.855
0.013533377261898728,0.7839059674502713,0.8543670634920636
0.013634750874347408,0.7839059674502713,0.8542754745254745
0.013736124486796087,0.7839059674502713,0.853923540610278
0.013837498099244767,0.7839059674502713,0.8533829365079366
0.013888184905469106,0.784207353827607,0.8529603174603175
0.013989558517917786,0.784207353827607,0.852511724386724
0.013989558517917786,0.7848101265822784,0.8516666666666666
0.014242992549039485,0.7848101265822784,0.8503829365079367
0.014242992549039485,0.7878239903556359,0.85
0.014445739773936844,0.7878239903556359,0.8486853896103895
0.014445739773936844,0.7884267631103075,0.8485714285714286
0.014547113386385525,0.7884267631103075,0.8474561965811965
0.014547113386385525,0.7896323086196504,0.8455218253968252
0.014597800192609863,0.7896323086196504,0.8453075396825398
0.014597800192609863,0.7899336949969862,0.8452301587301585
0.014648486998834203,0.7914406268836649,0.845
0.014648486998834203,0.7917420132610006,0.8449121572871573
0.014699173805058544,0.7917420132610006,0.8440371572871573
0.014699173805058544,0.792344786015672,0.8433537581699346
0.014851234223731562,0.792344786015672,0.84114880952381
0.014901921029955903,0.7935503315250151,0.84
0.014901921029955903,0.7938517179023508,0.8390628677954011
0.015053981448628921,0.7938517179023508,0.8376468253968254
0.015053981448628921,0.7944544906570223,0.8365158730158732
0.015155355061077602,0.7944544906570223,0.8352142857142857
0.01525672867352628,0.7965641952983725,0.835
0.015358102285974961,0.7965641952983725,0.8349401859519875
0.01551016270464798,0.7965641952983725,0.83375
0.01561153631709666,0.7965641952983725,0.8316641414141412
0.01571290992954534,0.797166968053044,0.8313453661025908
0.01576359673576968,0.797166968053044,0.830831349206349
0.015915657154442698,0.797166968053044,0.8307756967361877
0.01611840437934006,0.7980711271850512,0.83
0.016270464798013078,0.7980711271850512,0.8297698412698413
0.016270464798013078,0.798372513562387,0.8290000000000001
0.016523898829134777,0.798372513562387,0.8251746031746029
0.016574585635359115,0.7998794454490658,0.825
0.016726646054032134,0.7998794454490658,0.820963372003813
0.016929393278929495,0.8010849909584087,0.8207860583422243
0.016980080085153833,0.8013863773357445,0.8202421705831136
0.016980080085153833,0.8019891500904159,0.82
0.017081453697602514,0.8019891500904159,0.8179819632981397
0.017081453697602514,0.8022905364677516,0.8150389610389611
0.017284200922499875,0.8025919228450874,0.815
0.017284200922499875,0.8031946955997589,0.8115714285714286
0.017436261341172894,0.8031946955997589,0.8102141053391051
0.017486948147397232,0.8044002411091019,0.81
0.017537634953621574,0.8044002411091019,0.8093055555555556
0.017537634953621574,0.8047016274864376,0.809
0.01774038217851893,0.8047016274864376,0.8077028527028525
0.01779106898474327,0.8050030138637734,0.8074396991896985
0.01779106898474327,0.8065099457504521,0.805
0.01789244259719195,0.8065099457504521,0.8045454545454546
0.01789244259719195,0.8071127185051236,0.8038002136752137
0.01799381620964063,0.8071127185051236,0.8032189375167316
0.01799381620964063,0.8074141048824593,0.8025
0.01804450301586497,0.8074141048824593,0.8015068624914667
0.01814587662831365,0.8080168776371308,0.8
0.01814587662831365,0.8083182640144665,0.7998749999999998
0.01824725024076233,0.8083182640144665,0.7983351534702536
0.018297937046986668,0.8083182640144665,0.7967474403615707
0.01860205788433271,0.8092224231464737,0.7957590901786188
0.01860205788433271,0.8095238095238095,0.7957056554556552
0.01860205788433271,0.8110307414104883,0.795
0.018652744690557048,0.8110307414104883,0.7949889138639135
0.018652744690557048,0.811332127787824,0.794
0.018703431496781386,0.811332127787824,0.7935661860407626
0.01875411830300573,0.8137432188065099,0.79
0.01885549191545441,0.8137432188065099,0.7889112151178711
0.018906178721678747,0.8140446051838457,0.7870014430014429
0.018906178721678747,0.8143459915611815,0.7852579365079362
0.019108925946576105,0.8158529234478602,0.785
0.019210299559024785,0.8158529234478602,0.7830247738372741
0.019210299559024785,0.8161543098251959,0.7825
0.019362359977697804,0.8167570825798673,0.7823350214117943
0.019362359977697804,0.8173598553345389,0.7801785714285715
0.019362359977697804,0.8185654008438819,0.78
0.019362359977697804,0.8188667872212176,0.779529761904762
0.019463733590146484,0.8188667872212176,0.7769452598877655
0.019463733590146484,0.8191681735985533,0.7768571428571428
0.019463733590146484,0.8203737191078964,0.775
0.019463733590146484,0.8209764918625678,0.7734583333333331
0.019565107202595165,0.8209764918625678,0.771010461760462
0.019767854427492525,0.8227848101265823,0.77
0.019818541233716864,0.8227848101265823,0.7675
0.020173348877287244,0.823086196503918,0.7653227649874356
0.02027472248973592,0.8236889692585895,0.765
0.02027472248973592,0.8239903556359253,0.7643174603174603
0.020325409295960262,0.8239903556359253,0.7622619047619047
0.02057884332708196,0.8248945147679325,0.7615159135305056
0.02057884332708196,0.8251959011452682,0.7615000000000001
0.02068021693953064,0.825497287522604,0.7609415764788432
0.02073090374575498,0.8257986738999398,0.76
0.02083227735820366,0.8257986738999398,0.7577056277056273
0.020933650970652338,0.8257986738999398,0.7555357142857143
0.020933650970652338,0.8261000602772754,0.755046395841492
0.02098433777687668,0.8264014466546112,0.755
0.021035024583101018,0.8264014466546112,0.7547859224109217
0.021339145420447056,0.8285111512959614,0.7545930189516041
0.021339145420447056,0.8288125376732972,0.75375
0.021541892645344417,0.8288125376732972,0.7535514865251703
0.021795326676466116,0.8288125376732972,0.753522407274465
0.021846013482690455,0.8291139240506329,0.7527788739038738
0.021896700288914796,0.8291139240506329,0.7517972582972585
0.021947387095139135,0.8297166968053044,0.75
0.022099447513812154,0.8297166968053044,0.7491550728038733
0.022099447513812154,0.8300180831826401,0.7490000000000001
0.022150134320036496,0.8303194695599759,0.7487892705591846
0.022504941963606872,0.8306208559373116,0.7487467567931845
0.022504941963606872,0.8312236286919831,0.7479583333333334
0.022606315576055552,0.8312236286919831,0.7475416666666667
0.022606315576055552,0.8315250150693189,0.7475
0.022707689188504233,0.8315250150693189,0.7473143939393938
0.02275837599472857,0.8315250150693189,0.7472067099567096
0.02275837599472857,0.8324291742013261,0.7452016594516594
0.022809062800952913,0.8324291742013261,0.7450288600288598
0.022961123219625932,0.8330319469559976,0.745
0.02311318363829895,0.8333333333333334,0.7446226578933619
0.02321455725074763,0.8333333333333334,0.7439484126984124
0.02321455725074763,0.8339361060880048,0.74375
0.02341730447564499,0.8339361060880048,0.7401102092352096
0.02341730447564499,0.8348402652200121,0.74
0.023569364894318007,0.8348402652200121,0.7376897546897547
0.023670738506766688,0.8348402652200121,0.7356316183816185
0.023772112119215368,0.836045810729355,0.735
0.02397485934411273,0.836045810729355,0.7328152003225533
0.024025546150337068,0.836045810729355,0.7324493145743145
0.024025546150337068,0.8363471971066908,0.7311448412698411
0.024076232956561406,0.8375527426160337,0.73
0.024076232956561406,0.8378541289933695,0.7294338023088024
0.024177606569010086,0.8378541289933695,0.7274166666666666
0.024329666987683105,0.8396624472573839,0.725
0.024380353793907447,0.8396624472573839,0.7246510420049502
0.024380353793907447,0.8399638336347197,0.7238883477633477
0.024481727406356124,0.8399638336347197,0.723597222222222
0.024481727406356124,0.8402652200120555,0.7227022707684467
0.024583101018804804,0.8402652200120555,0.7226197869069699
0.024735161437477823,0.840867992766727,0.7220470255270364
0.024785848243702165,0.840867992766727,0.7216041549916209
0.024887221856150842,0.840867992766727,0.7204754129384544
0.024887221856150842,0.8420735382760699,0.72
0.024887221856150842,0.8423749246534057,0.7190424434199754
0.024988595468599523,0.8423749246534057,0.7169761904761903
0.025039282274823865,0.8423749246534057,0.7155456349206345
0.02514065588727254,0.8432790837854129,0.715
0.025343403112169902,0.8435804701627486,0.7117390013997684
0.02549546353084292,0.8435804701627486,0.7100569985569983
0.025546150337067263,0.8447860156720917,0.71
0.0255968371432916,0.8447860156720917,0.709920038295038
0.0255968371432916,0.8453887884267631,0.7094444444444444
0.025698210755740282,0.8453887884267631,0.7050373376623377
0.0258502711744133,0.8459915611814346,0.705
0.0258502711744133,0.8462929475587704,0.704262705431823
0.02590095798063764,0.8462929475587704,0.700625
0.02600233159308632,0.8474984930681133,0.7
0.026053018399310658,0.8474984930681133,0.6997123015873012
0.026053018399310658,0.8481012658227848,0.698
0.026103705205535,0.8481012658227848,0.6973204295704295
0.02620507881798368,0.8484026522001206,0.6963558293446988
0.02620507881798368,0.849005424954792,0.6954016646630543
0.0263571392366567,0.8499095840867993,0.695
0.0266105732677784,0.8499095840867993,0.6940179089583935
0.0266105732677784,0.8505123568414708,0.69
0.0266105732677784,0.8511151295961422,0.686
0.026762633686451417,0.851416515973478,0.685
0.026813320492675756,0.851416515973478,0.6829999999999999
0.026864007298900098,0.8517179023508138,0.6816294261294265
0.026965380911348775,0.8523206751054853,0.68
0.027016067717573117,0.8526220614828209,0.675
0.027117441330021794,0.8526220614828209,0.674
0.027117441330021794,0.8535262206148282,0.672938492063492
0.027269501748694816,0.8535262206148282,0.672201479076479
0.027320188554919154,0.853827606992164,0.6702988400488397
0.027320188554919154,0.8556359252561784,0.67
0.027370875361143493,0.8556359252561784,0.669375
0.027370875361143493,0.8559373116335142,0.6691666666666666
0.027421562167367835,0.8559373116335142,0.6685914502164497
0.027522935779816515,0.8559373116335142,0.6685256965256962
